id,key,value,type
27778612,source,PGS,regular
27778613,source,PGS,regular
27778614,source,PGS,regular
27778616,source,PGS,regular
27778659,source,PGS,regular
27778660,source,PGS,regular
27778664,source,PGS,regular
27778665,source,PGS,regular
27778666,source,PGS,regular
27778667,source,PGS,regular
27778668,source,PGS,regular
27778670,source,PGS,regular
27778671,source,PGS,regular
27778673,source,PGS,regular
27778674,source,PGS,regular
27778675,source,PGS,regular
27778676,source,PGS,regular
27778677,source,PGS,regular
27778679,source,PGS,regular
27778680,source,PGS,regular
27778681,source,PGS,regular
27778682,source,PGS,regular
27778683,source,PGS,regular
27778684,source,PGS,regular
27778685,source,PGS,regular
27778686,source,PGS,regular
27778693,source,PGS,regular
27778697,source,PGS,regular
27778698,source,PGS,regular
27778700,source,PGS,regular
27778702,source,PGS,regular
27778703,source,PGS,regular
27778704,source,PGS,regular
27778706,source,PGS,regular
27778707,source,PGS,regular
27778709,source,PGS,regular
27778710,source,PGS,regular
27778711,source,PGS,regular
27778712,source,PGS,regular
27778713,source,PGS,regular
27778714,source,PGS,regular
27778718,source,PGS,regular
